Date,Mb ,Genome 
37164,5292.39,95263072
37346,3898.64,70175437
37529,3413.8,61448422
37711,2986.2,53751684
37925,2230.98,40157554
38017,1598.91,28780376
38107,1135.7,20442576
38199,1107.46,19934346
38291,1028.85,18519312
38383,974.16,17534970
38472,897.76,16159699
38564,898.9,16180224
38656,766.73,13801124
38748,699.2,12585659
38837,651.81,11732535
38929,636.41,11455315
39021,581.92,10474556
39113,522.71,9408739
39202,502.61,9047003
39294,495.96,8927342
39386,397.09,7147571
39478,102.13,3063820
39568,15.03,1352982
39660,8.36,752080
39752,3.81,342502
39844,2.59,232735
39933,1.72,154714
40025,1.2,108065
40117,0.78,70333
40209,0.52,46774
40298,0.35,31512
40390,0.35,31125
40482,0.32,29092
40574,0.23,20963
40663,0.19,16712
40755,0.12,10497
40846,0.09,7743
40939,0.09,7666
41029,0.07,5901
41121,0.07,5985
41213,0.07,6618
41305,0.06,5671
41394,0.06,5550
41486,0.06,5550
41578,0.06,5096
41670,0.04,4008
41759,0.05,4920
41851,0.05,4905
41943,0.06,5731
42035,0.04,3970
42124,0.05,4211
42216,0.015,1363
42308,0.014,1245
42521,0.013,1176
42613,0.017,1508
42704,0.015,1356
42794,0.011,1015
42886,0.015,1333
42978,0.013,1134
43069,0.02,1844
43159,0.014,1232
43251,0.016,1463
43343,0.016,1467
43434,0.015,1392
43524,0.012,1039
43586,0.007,606
43678,0.01,942
43799,0.008,695
43889,0.007,645
43982,0.008,702
44074,0.008,689
